[2023-06-14 16:48:59,098]-[DEBUG]-[auth.py]-[Line:44]-[Msg:用户user鉴权成功]
[2023-06-14 16:48:59,747]-[DEBUG]-[auth.py]-[Line:25]-[Msg:用户id:1653305391263649792解析token成功]
[2023-06-14 16:48:59,778]-[DEBUG]-[auth.py]-[Line:44]-[Msg:用户user鉴权成功]
[2023-06-14 16:48:59,778]-[DEBUG]-[connectionpool.py]-[Line:1003]-[Msg:Starting new HTTPS connection (1): uc.qbox.me:443]
[2023-06-14 16:48:59,919]-[DEBUG]-[connectionpool.py]-[Line:456]-[Msg:https://uc.qbox.me:443 "GET /v1/query?ak=FU5sKsfrD422VmfLSxCm6AxnjNHxUA_VYf1xdT1b&bucket=mewstore HTTP/1.1" 200 650]
[2023-06-14 16:48:59,919]-[DEBUG]-[retry.py]-[Line:351]-[Msg:Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)]
[2023-06-14 16:48:59,919]-[DEBUG]-[connectionpool.py]-[Line:228]-[Msg:Starting new HTTP connection (1): up-cn-east-2.qiniup.com:80]
[2023-06-14 16:49:04,583]-[DEBUG]-[connectionpool.py]-[Line:456]-[Msg:http://up-cn-east-2.qiniup.com:80 "POST / HTTP/1.1" 200 76]
[2023-06-14 16:49:04,679]-[DEBUG]-[user_profile_photo.py]-[Line:21]-[Msg:用户user修改头像成功]
[2023-06-14 16:49:04,743]-[DEBUG]-[auth.py]-[Line:25]-[Msg:用户id:1653305391263649792解析token成功]
[2023-06-14 16:49:04,775]-[DEBUG]-[auth.py]-[Line:44]-[Msg:用户user鉴权成功]
[2023-06-14 16:49:04,887]-[DEBUG]-[user_money.py]-[Line:27]-[Msg:用户user充值成功]
[2023-06-14 16:49:04,949]-[DEBUG]-[auth.py]-[Line:25]-[Msg:用户id:1653305391263649792解析token成功]
[2023-06-14 16:49:04,980]-[DEBUG]-[auth.py]-[Line:44]-[Msg:用户user鉴权成功]
[2023-06-14 16:49:05,091]-[DEBUG]-[user_money.py]-[Line:33]-[Msg:用户user提现成功]
[2023-06-14 16:49:05,140]-[DEBUG]-[auth.py]-[Line:25]-[Msg:用户id:1653305391263649792解析token成功]
[2023-06-14 16:49:05,173]-[DEBUG]-[auth.py]-[Line:44]-[Msg:用户user鉴权成功]
[2023-06-14 16:49:05,239]-[DEBUG]-[auth.py]-[Line:25]-[Msg:用户id:1653305391263649792解析token成功]
[2023-06-14 16:49:05,270]-[DEBUG]-[auth.py]-[Line:44]-[Msg:用户user鉴权成功]
[2023-06-14 16:49:05,332]-[DEBUG]-[auth.py]-[Line:25]-[Msg:用户id:1653305391263649792解析token成功]
[2023-06-14 16:49:05,364]-[DEBUG]-[auth.py]-[Line:44]-[Msg:用户user鉴权成功]
[2023-06-14 16:49:05,458]-[DEBUG]-[auth.py]-[Line:25]-[Msg:用户id:1653305391263649792解析token成功]
[2023-06-14 16:49:05,474]-[DEBUG]-[auth.py]-[Line:44]-[Msg:用户user鉴权成功]
[2023-06-14 16:49:05,538]-[DEBUG]-[auth.py]-[Line:25]-[Msg:用户id:1653305391263649792解析token成功]
[2023-06-14 16:49:05,570]-[DEBUG]-[auth.py]-[Line:44]-[Msg:用户user鉴权成功]
[2023-06-14 16:49:05,663]-[DEBUG]-[auth.py]-[Line:25]-[Msg:用户id:1653305391263649792解析token成功]
[2023-06-14 16:49:05,679]-[DEBUG]-[auth.py]-[Line:44]-[Msg:用户user鉴权成功]
[2023-06-14 16:49:06,185]-[DEBUG]-[connectionpool.py]-[Line:456]-[Msg:http://up-cn-east-2.qiniup.com:80 "POST / HTTP/1.1" 200 76]
[2023-06-14 16:49:06,185]-[DEBUG]-[picture.py]-[Line:26]-[Msg:用户user上传图片http://qiniuyun.mewtopia.cn/FgQuh8Z8hTTTHt4pMtSlsiugZfHk成功]
[2023-06-14 16:49:06,249]-[DEBUG]-[auth.py]-[Line:25]-[Msg:用户id:1653305391263649792解析token成功]
[2023-06-14 16:49:06,281]-[DEBUG]-[auth.py]-[Line:44]-[Msg:用户user鉴权成功]
[2023-06-14 16:49:06,343]-[DEBUG]-[history.py]-[Line:35]-[Msg:用户1653305391263649792获取与用户1653305391263649792的历史消息]
[2023-06-14 16:49:06,405]-[DEBUG]-[auth.py]-[Line:25]-[Msg:用户id:1653305391263649792解析token成功]
[2023-06-14 16:49:06,422]-[DEBUG]-[auth.py]-[Line:44]-[Msg:用户user鉴权成功]
[2023-06-14 16:49:06,519]-[DEBUG]-[auth.py]-[Line:25]-[Msg:用户id:1653305391263649792解析token成功]
[2023-06-14 16:49:06,551]-[DEBUG]-[auth.py]-[Line:44]-[Msg:用户user鉴权成功]
[2023-06-14 16:49:06,753]-[DEBUG]-[list.py]-[Line:50]-[Msg:用户1653305391263649792获取消息列表]
[2023-06-14 16:49:06,879]-[DEBUG]-[good_info.py]-[Line:23]-[Msg:获取商品1654432305042825216信息成功]
[2023-06-14 16:49:06,925]-[DEBUG]-[auth.py]-[Line:25]-[Msg:用户id:1653305391263649792解析token成功]
[2023-06-14 16:49:06,957]-[DEBUG]-[auth.py]-[Line:44]-[Msg:用户user鉴权成功]
[2023-06-14 16:49:07,576]-[DEBUG]-[connectionpool.py]-[Line:456]-[Msg:http://up-cn-east-2.qiniup.com:80 "POST / HTTP/1.1" 200 76]
